Type,Ressort,RG,OBJET,ligne objet,NORME,ligne norme,QUANTUM,ligne quantum,POSITION,ligne position,RESULTAT,ligne contenant un résultat,QUANTUM RESULTAT (obtenu),ligne quantum
CA,Nîmes,10/05370,déclaration de créance au passif de la procédure collective,113,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"719 479,00 €",,,,accepte,147,"719 479,00 €",
CA,Nîmes,10/05370,déclaration de créance au passif de la procédure collective,114,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"835 013,06 €",,,,rejette,149,"0,00 €",
CA,Nîmes,10/05370,déclaration de créance au passif de la procédure collective,115,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"809 673,00 €",,,,rejette,150,"0,00 €",
CA,Nîmes,10/01270,dommages-intérêts,64,1147 code civil : inexécution contractuelle,,"12 500,00 €",,,,rejette,119,"0,00 €",
CA,Nîmes,10/01270,dommages-intérêts,95,1625 code civil : garantie contre l'éviction,,"12 500,00 €",,,,rejette,119,"0,00 €",
CA,Nîmes,10/01270,dommages-intérêts,96,1382 code civil : faute personnelle,,"12 500,00 €",,,,rejette,119,"0,00 €",
CA,Nîmes,10/01270,dommages-intérêts,80,1109 code civil : vice du consentement,,"12 500,00 €",,,,rejette,119,"0,00 €",
CA,Nîmes,10/01270,paiement,76,1134 code civil : paiement du prix prévu par le contrat,,"12 655,00 €",,,,accepte,120,"12 655,00 €",
CA,Nîmes,10/01270,dommages-intérêts,85,1382 code civil : faute personnelle,,"5 000,00 €",,,,rejette,121,"0,00 €",
CA,Nîmes,10/04493,paiement,58,1134 code civil : paiement du prix prévu par le contrat,,"411 261,95 €",,,,accepte,"61,62,63,122","199 026,82 €",
CA,Nîmes,10/04493,paiement,58,1134 code civil : paiement du prix prévu par le contrat,,"284 772,50 €",,,,accepte,"61,62,64,122","122 346,37 €",
CA,Nîmes,10/04493,dommages-intérêts,60,1382 code civil : faute personnelle,,"696 034,45 €",,,,rejette,"66,67,122","0,00 €",
CA,Aix,14/02819,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"103 000,00 €",,,,accepte,,"103 000,00 €",
CA,Paris,15/10304,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"29 729,72 €",,,,accepte,,"29 729,72 €",
CA,Paris,15/10304,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"16 583,54 €",,,,accepte,,"16 583,54 €",
CA,Aix,13/22800,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"63 316,20 €",,,,accepte,,"63 316,20 €",
CA,Aix,13/23830,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"7 279,12 €",,,,accepte,,"7 279,12 €",
CA,Aix,13/23830,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"1 091,87 €",,,,rejette,,"0,00 €",
CA,Aix,13/14754,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"52 615,74 €",,,,accepte,,"52 615,74 €",
CA,Aix,13/20811,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"104 777,00 €",,,,accepte,,"104 777,00 €",
CA,Aix,13/20906,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"214 845,83 €",,,,accepte,,"214 845,83 €",
CA,Aix,13/15734,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"301 241,72 €",,,,accepte,,"301 241,72 €",
CA,Aix,13/16195,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"236 272,33 €",,,,accepte,,"236 272,33 €",
CA,Caen,14/01837,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"194 953,41 €",,,,accepte,,"194 953,41 €",
CA,Douai,14/06754,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"25 532,58 €",,,,accepte,,"25 532,58 €",
CA,Paris,14/01578,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"41 669,61 €",,,,accepte,,"41 669,61 €",
CA,Paris,14/14008,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"60 028,21 €",,,,accepte,,"60 028,21 €",
CA,Paris,12/18473,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"38 415,68 €",,,,accepte,,"31 150,59 €",
