Type,Ressort,RG,OBJET,ligne objet,NORME,ligne norme,QUANTUM,ligne quantum,POSITION,ligne position,RESULTAT,ligne contenant un résultat,QUANTUM RESULTAT (obtenu),ligne quantum.1,count
CA,Nîmes,10/05370,déclaration de créance au passif de la procédure collective,113,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"719 479,00 €",,,,accepte,147,"719 479,00 €",,1
CA,Nîmes,10/05370,déclaration de créance au passif de la procédure collective,114,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"835 013,06 €",,,,rejette,149,"0,00 €",,1
CA,Nîmes,10/05370,déclaration de créance au passif de la procédure collective,115,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"809 673,00 €",,,,rejette,150,"0,00 €",,1
CA,Nîmes,10/01270,dommages-intérêts,64,1147 code civil : inexécution contractuelle,,"12 500,00 €",,,,rejette,119,"0,00 €",,2
CA,Nîmes,10/01270,dommages-intérêts,95,1625 code civil : garantie contre l'éviction,,"12 500,00 €",,,,rejette,119,"0,00 €",,2
CA,Nîmes,10/01270,dommages-intérêts,96,1382 code civil : faute personnelle,,"12 500,00 €",,,,rejette,119,"0,00 €",,2
CA,Nîmes,10/01270,dommages-intérêts,80,1109 code civil : vice du consentement,,"12 500,00 €",,,,rejette,119,"0,00 €",,2
CA,Nîmes,10/01270,paiement,76,1134 code civil : paiement du prix prévu par le contrat,,"12 655,00 €",,,,accepte,120,"12 655,00 €",,2
CA,Nîmes,10/01270,dommages-intérêts,85,1382 code civil : faute personnelle,,"5 000,00 €",,,,rejette,121,"0,00 €",,2
CA,Nîmes,10/04493,paiement,58,1134 code civil : paiement du prix prévu par le contrat,,"411 261,95 €",,,,accepte,"61,62,63,122","199 026,82 €",,3
CA,Nîmes,10/04493,paiement,58,1134 code civil : paiement du prix prévu par le contrat,,"284 772,50 €",,,,accepte,"61,62,64,122","122 346,37 €",,3
CA,Nîmes,10/04493,dommages-intérêts,60,1382 code civil : faute personnelle,,"696 034,45 €",,,,rejette,"66,67,122","0,00 €",,3
CA,Aix,14/02819,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"103 000,00 €",,,,accepte,,"103 000,00 €",,4
CA,Paris,15/10304,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"29 729,72 €",,,,accepte,,"29 729,72 €",,5
CA,Paris,15/10304,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"16 583,54 €",,,,accepte,,"16 583,54 €",,5
CA,Aix,13/22800,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"63 316,20 €",,,,accepte,,"63 316,20 €",,6
CA,Aix,13/23830,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"7 279,12 €",,,,accepte,,"7 279,12 €",,7
CA,Aix,13/23830,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"1 091,87 €",,,,rejette,,"0,00 €",,7
CA,Aix,13/14754,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"52 615,74 €",,,,accepte,,"52 615,74 €",,8
CA,Aix,13/20811,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"104 777,00 €",,,,accepte,,"104 777,00 €",,9
CA,Aix,13/20906,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"214 845,83 €",,,,accepte,,"214 845,83 €",,10
CA,Aix,13/15734,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"301 241,72 €",,,,accepte,,"301 241,72 €",,11
CA,Aix,13/16195,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"236 272,33 €",,,,accepte,,"236 272,33 €",,12
CA,Caen,14/01837,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"194 953,41 €",,,,accepte,,"194 953,41 €",,13
CA,Douai,14/06754,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"25 532,58 €",,,,accepte,,"25 532,58 €",,14
CA,Paris,14/01578,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"41 669,61 €",,,,accepte,,"41 669,61 €",,15
CA,Paris,14/14008,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"60 028,21 €",,,,accepte,,"60 028,21 €",,16
CA,Paris,12/18473,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"38 415,68 €",,,,accepte,,"31 150,59 €",,17
CA,Lyon,14/03233,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"86 670,34 €",,,,accepte,,"86 670,34 €",,18
CA,Poitiers,14/01902,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"12 402,07 €",,,,accepte,,"12 402,07 €",,19
CA,Amiens,11/03039,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"542 076,79 €",,,,accepte,,"20 368,04 €",,20
CA,Paris,14/05755,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"14 739,32 €",,,,accepte,,"14 739,32 €",,21
CA,Rennes,13/01972,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"618 129,55 €",,,,accepte,,"618 129,55 €",,22
CA,Aix,12/12829,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"631 619,00 €",,,,accepte,,"613 222,00 €",,23
CA,Aix,12/13370,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"7 232,14 €",,,,accepte,,"7 232,18 €",,24
CA,Aix,12/08041,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"29 344,67 €",,,,accepte,,"23 496,15 €",,25
CA,Aix,12/08042,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"32 288,63 €",,,,accepte,,"23 899,75 €",,26
CA,Aix,12/08039,déclaration de créance au passif de la procédure collective,,L622-24 code de commerce : déclaration de créance au passif de la procédure collective,,"32 349,83 €",,,,accepte,,"26 707,78 €",,27
CA,Nîmes,10/04491,paiement,53,1134 code civil : paiement du prix prévu par le contrat,,"40 990,15 €",,,,accepte,"54,85","40 990,15 €",,28
CA,Nîmes,10/04491,paiement,53,1134 code civil : paiement du prix prévu par le contrat,,"10 852,15 €",,,,accepte,"54,85","10 852,15 €",,28
CA,Nîmes,09/02629,demande conjointe de retrait du rôle,43,382 et 383 Code de procédure civile,,-,,,,accepte,52,-,,29
CA,Nîmes,12/00855,error,50,462 Code de procédure civile,,-,,,,accepte,64,-,,0
CA,Nîmes,10/04103,demande conjointe de retrait du rôle,47,382 et 383 Code de procédure civile,,-,,,,accepte,54,-,,30
CA,Nîmes,12/00854,error,44,462 Code de procédure civile,,-,,,,accepte,59,-,,0
