city,lat,lng
Annecy,45.89997479,6.116670287
Roanne,46.03332583,4.066666218
Roura,4.729981302,-52.33002059
Sinnamary,5.380019144,-52.95998214
St.-Brieuc,48.51666262,-2.783303265
Poitier,46.58329226,0.333276529
Angers,47.48000755,-0.530029949
Biarritz,43.47327537,-1.561594891
Aix-en-Provence,43.51999086,5.449992634
Perpignan,42.69998924,2.899967406
Tarbes,43.23329002,0.083343464
Clermont-Ferrand,45.77998212,3.080008096
Melun,48.53330243,2.666648314
Arras,50.28332481,2.783333698
Besancon,47.22999697,6.03000891
Saint-Georges,3.9104706,-51.81000065
Saint-Etienne,45.43039105,4.380032103
Grenoble,45.18038047,5.720001992
Fort-de-France,14.6104118,-61.08002914
Saint-Laurent-du-Maroni,5.497624081,-54.03253459
Iracoubo,5.480426452,-53.21999211
Cherbourg,49.65039187,-1.649987428
Caen,49.18375368,-0.349989259
Lorient,47.75040448,-3.366575156
Brest,48.39044293,-4.49500757
Le Mans,48.00041506,0.099983275
Nantes,47.21038576,-1.590016929
Agen,44.20041445,0.633335733
Ajaccio,41.92706484,8.728293822
Bastia,42.70316734,9.450006875
Toulon,43.13418645,5.918821566
Beziers,43.35049217,3.209974323
Montpellier,43.61039878,3.869985716
Nimes,43.83038535,4.350008096
Vichy,46.117145,3.416680052
Nevers,46.98373293,3.166669473
Auxerre,47.80042727,3.566593382
Dijon,47.33040428,5.030018268
Bourges,47.08372683,2.399997923
Tours,47.38037539,0.699946654
Orleans,47.90042116,1.900028441
Dieppe,49.93373374,1.083334105
Rouen,49.43040529,1.079975137
Versailles,48.80046958,2.133347533
Brive,45.15040814,1.533332477
Troyes,48.34039431,4.083357705
Reims,49.25039044,4.029975951
Calais,50.95041587,1.833314167
Amiens,49.90037661,2.300004027
Mulhouse,47.75040448,7.34998002
Nancy,48.68368085,6.200024372
Metz,49.1203467,6.180025593
Pointe-a-Pitre,16.24147504,-61.5329989
St.-Benoit,-21.03351072,55.71281612
Dzaoudzi,-12.78708901,45.27500362
Rennes,48.10002138,-1.670012046
Nice,43.71501772,7.265023965
Toulouse,43.61995892,1.449926716
Limoges,45.82997906,1.249990599
Lille,50.64996909,3.080008096
Strasbourg,48.57996625,7.750007282
Kourou,5.159980895,-52.64994938
La Rochelle,46.16665102,-1.149992108
Bordeaux,44.85001304,-0.595013063
Marseille,43.28997906,5.37501013
Le Havre,49.50497438,0.104970051
St.-Denis,-20.87889484,55.44807776
Lyon,45.77000856,4.830030475
Cayenne,4.932992166,-52.33002059
Paris,48.86669293,2.333335326
Papeete,-17.53336261,-149.5666694
Pau,43.3,-0.3667
Basse-Terre,15.9985400,-61.7254800
